formula,target
Ce0.8 Cu2.38 Nd1.78 O10 Ru0.62 Sr1.42,1
Co3 Cu3 O12 Te2,1
H12 Mn1 N2 O10 S2,0
Ge13 Pr3 Pt4,0
Ni1 O4 Tc1 Zn1,1
Ag1 Li2 Sb1,1
Bi2 Cu1 O7 S1,0
H1 Co1 Na1 O7 P2,1
Ge1 Rb1 Se4 Sm1,0
Ba0.5 Cu0.5 La0.5 O3 Ti0.5,1
In4 Pd17 Se4,0
C6 H5.4 Cr1 K3 O14.7,1
Cu2.519937 Mn0.1479963 Se3.9999 Sn1.3333,1
Br1 Mo1 S1,0
H1.04 B0.26 Cl0.74 Na1,1
Cd0.8 Cu2 Fe0.2 Se4 Sn1,1
Ba0.836 Si2 Sr0.164,1
Fe1.2 Mn0.8 Nd1 Si2,1
Am1 Br1 O1,0
P1 Zr2,0
Ag1 Rb2 S4 Ta1,0
O4 Se1 Sr1,0
Ba1 La2 O7 W1,0
Ba6.63 Sb14.39 Sn11,1
Ca16 N10.56,1
Br1 Nd1 O3 Te1,0
Fe1.6 Ge2 Mn0.4 Nd1,1
C1.5 La1 Mn11,1
Cd1 Te1,1
Cl3 O6 Sm3 W1,0
Mo0.2 O5 V1.8,1
Nb1 O4 S3 Sm3,0
Pd1 Sb1 Tm1,0
Al1 Gd0.1 Nd0.9 O3,1
Bi2 S0.15 Te2.85,1
B6 Co12 Y1,0
Er1 Ni0.53 Sb2,1
Al2.2 Cu0.91 O72 Si33.8,1
Co4 I0.13 Sb12,1
Ge3 Hf2 Na4 O12,0
Eu2 Na8 Se12 Si4,1
Ca0.6 La0.8 O3 Ti0.6,1
H20 Ca2 N2 O24 P6,0
Er1 Ge3 Ni0.61,1
Ba1 Co1.2 Cu0.8 Nd1 O5.381,1
Al0.84 Bi2 Ga3.16 O9,1
C6 N6 Ni2 Os1,0
Cu1.43 In1.33 Se4 Zn1.23,1
Co1 S1.97,1
C2 Al1 Zr3,0
Fe10.9 Sm1 Ti1.1,1
Br0.92 Cl1.08 Pb1,1
Fe1 Li3 Na2 O4,0
Nb6.5 S3.46 Ta2.5 Te1.54,1
Ca0.5 Mn1 O4 Sr1.5,1
Ca0.26 La0.74 Mn1 O3,1
Mo0.26 Pd0.74,1
Ba1 In2 La2 O7,0
Cs6 Cu2 S18 Te2,0
Mn1 Si1 Ti1,0
Hg1 K2 Sn1 Te4,1
Ge2 K2 S5,0
Au3 Lu3 Sb4,0
Fe0.954 O4 V1.052 Zn0.996,1
Mn0.5 O4 Ru0.5 Sr2,1
Ir3 Tb5,0
Fe1 Li0.05 O4 P1,1
Gd3 Mn23 Pr3,1
Fe11 Ti1 Tm1,1
Cu1 Ga1 Hf1,0
Ag1 Au1 F4,0
N0.87 Sc1,1
Cu3 Li2 Zn1,1
Cu1.08 P3 Si3.92,1
Al8 Ge3 Sr14,0
La0.63 Mn1 O3 Pb0.37,1
Ca1 Ge1 Mn1,0
O2 U0.7 Zr0.3,1
O2 Sr1 Zn1,0
Mg1 Nd1 O6 Ru1 Sr1,1
Li1 Mg0.125 O4 V1.875,1
Au1.5 Fe1 Pd1.5,1
Gd1 Ni2 Sn2,0
F3 Rb1 Yb1,0
Bi2 Mn1 Ni1 O6,0
C1 O9 Sc2 Sr4,1
Cu3 Dy1 O8 Pb2 Sr2,0
Ba1 Ni2 O8 P2,0
Ba2 Cl1 Cs1 S4 Sn1,0
Na3 O16 P4 V3,0
Ba2 Cu1 O6.032 Tl1.928,1
Lu1 Ni5,0
Ba4 S10 Zr3,0
H1 Al2.884 Ca2 Fe0.116 O13 Si3,1
B4 Gd1 Re1,0
As1 Ce1,0
La1 Mn1 O6 Re1 Sr1,1
Al1.1 Co3.9 Gd1,1
Fe0.6 O4 Ti0.525 Zn1.7 Zr0.175,1
La1 Mg0.5 Mn0.5 O3,0
