,formula,target
0,Ca0.9 Cr0.2 Cu2 O7 Sr2 Tl0.9,3
1,Cu1 Mo0.3 O6 Sr2 W0.7,1
2,Cl6 K3 Rh1,0
3,B0.2 Cr3 P0.8,1
4,Cu1 Ge1 Se7 Tb3,0
5,Hg1 Pd1 Sm1,0
6,Co1 O6 Te1 Zn2,1
7,Cu0.76 Si0.06 Zn0.18,1
8,Ba2 Cu3 O6.92 Pr0.6 Y0.4,3
9,Ag8 Al4 Li4,0
10,O3 Sm0.7 Y1.3,1
11,Cu1 Mn2 O8 P2,0
12,Cu1 La1.89 O4 Sr0.11,1
13,O4 Sb0.64 Zn2.36,1
14,Rb2 Se5 Sn2,0
15,In2 O14 P4 Sr1,0
16,In5 Li8 Si3,1
17,Ba1 Ga2 Pt2,0
18,Al1.65 Hf1 Ni0.35,1
19,Nb1.16 O6 Ta0.84 Zn1,1
20,F1.4 Na2.62 O9.6 P2 V2,3
21,Nb7 Ni6,0
22,Cu4 Pd1 U0.9 Y0.1,1
23,F1.4 Fe0.8 Na3 O9.6 P2 V1.2,3
24,Co0.23 O4 Sb0.67 Zn2.1,1
25,Ag0.56 Pb4 Pd6.25,3
26,Cl6 In0.78 Li2.8 Zr0.18,3
27,O10 P2 U2,0
28,Ni1 O1 Zr3,0
29,Cr0.15 Li1 Mn1.85 O4,1
30,Gd0.3 Ni1 Tb0.7,1
31,B2 Fe1.34 Mg0.36 O5,3
32,Ba0.554 Bi1 K0.446 O3,1
33,Al2.79 Dy1 Fe0.21,1
34,Ca0.488 Fe1 Na0.512 O6 Si2,1
35,Bi1 Co1 Te1,1
36,Co1 Cu1 Ge2 U1,1
37,Sn1 Ti3,0
38,Cs3 I12.78 Mo6 Se1.22,3
39,Nd1 P1,0
40,Cr1.6 Cu0.2 Ni0.2 Zr1,1
41,Er6 Mn1 S14 Si2,2
42,Ag0.8473 In0.1527,1
43,Lu1.8 O3 Yb0.2,1
44,Al1 Fe1 Lu1,1
45,Bi0.9 Fe0.9 O3 Pb0.1 V0.1,1
46,Ge4.4 Ru0.8 Sm2,3
47,Ba1 Ni9 P5,0
48,Ce2 Rh3 Si1,0
49,K2 O15 Si6 U1,0
50,Ce5 F2 Li14 N19 O7 Si11,1
51,Dy1 Pd1 Zn1,0
52,Ag10 Br3 Te4,2
53,Eu0.2 S1 Sm0.8,1
54,Fe6 Ga6 Ho1,1
55,Bi2 S4 Sr1,0
56,Ba1 Ir2 P2,0
57,Ca0.26 Fe1.4 Mg0.02 Mn1.31 O8 P2 Zn0.01,1
58,Co2 Cu3 Sm1,1
59,Cu1 Ge1 Lu1,1
60,Ca3 N1 Tl1,0
61,Co0.2 Fe0.6 O2.5 Sr1 Zr0.2,3
62,Dy1 Ga7 Mn5,1
63,Co3 Nd7,0
64,Ge6 O18 Sm2 Sr3,1
65,Cs1 F6 Re1,0
66,As1 F0.2 Fe1 La1 O0.8,1
67,C1 B12 Li1 P1,3
68,Bi1 N1 O6 Se1,0
69,Ca1.2362 Co1.6181 O3.8543,2
70,Al0.276 Ca2 Fe1.724 O5,1
71,O2 Se0.45 Sm2 Te0.55,1
72,Ce0.2 Gd0.8 Ni3,1
73,Ba0.274 Cu0.02 La0.726 Mn0.98 O3,1
74,Ge1 Li2 Mn0.009 O4 Zn0.991,1
75,Ta0.9 Te2 Zr0.1,1
76,Co1.33 Dy1 Ga0.67,1
77,Na13.6 Si136,2
78,Ba3 Mg1 O9 Ta2,1
79,Be1 La2 O5 Sr1,1
80,Cl4 Tc1,0
81,Cd1 K1 O4 V1,0
82,Fe3.32 Ge33 U34,2
83,As19 Pb4 S68 Sb21 Tl8,0
84,Ce2 Se4 U1,1
85,Bi1 Na5 O16 W4,0
86,Ge8 Mn11,0
87,Ag1.8 O4 W1 Zn0.09,3
88,Ag1 Ce1 Sn1,1
89,Al0.158 La0.263 O3 Pb0.66 Ti0.845,3
90,O4 Se1 V1,0
91,Ag0.6 Al1.4 Y1,1
92,Ni2 Sb1 Zr1,0
93,Ag1 Te2 Tm1,2
94,F1 Mo1 O4 Pr1,0
95,Cs1 N3 O11 U1,0
96,Fe2.886 O4,2
97,Cu2.74 O8 Pb2 Sr2 Y1 Zn0.26,3
98,Fe1 Nb4 Te4,0
99,Er4 Ga21 Ni10,0
100,Ba1 Ca2 Mg1 O8 Si2,0
101,Cr1.9 Li0.1 Mg1 O4,1
102,B1 Fe1 W1,0
103,Ge5 Ir3 Tb2,0
104,Bi1.6 Ho0.4 O3,3
105,Cl9 Cs3 Ru2,0
106,Sb2 Se2 Te1,0
107,I14 K2 W6,2
108,Bi1.06 Mn1,2
109,B6 Ca2 Ni21,0
110,C1 Cr0.4 V0.6,1
111,Bi2.25 La0.75 Nb0.92 O9 Ti1.08,1
112,Cu1 In0.95 Te2,2
113,Bi1 Ce1 F0.64 O0.36 S2,1
114,Ba2 Cu1 Hg0.955 O4.114,2
115,Cs1 F13 Th3,0
116,Fe1 Se0.3 Te0.7,1
117,Co1 Cu1.98 O2 S2 Sr2,2
118,C1 Cl13 Cs4 Sc6,0
119,Al1 Co4 Sm1,1
120,Ga3 Mn0.049 Tm1,2
121,Nb2 O15 P4,2
122,Al3 Au0.8 Cu0.2 La1,1
123,Si5 V6,0
124,Ge4 Na8 Te10,0
125,Ca3 Ge6 Na6 O18,3
126,Ba1 Sb3,0
127,F1 O4 Rb1 S1,0
128,Ba2 O11 V3 Y1,0
129,In0.1 O1 Zn0.9,1
130,Cs1 F2 I1 O2,0
131,C8 Cs1,0
132,Cr0.8 Cu0.8 S4 Ti1.2,3
133,Ba2 N8 Si5,0
134,Er0.57 Th0.43,1
135,O3 Pb1 Tc1,0
136,Mg0.97 Zn0.03,1
137,Li0.795 Nb1 O2,2
138,Si2 Zr1,0
139,Pd1.61 Si0.39 Sm1,1
140,Co2 Mn3 O8,0
141,Cu2.7 Fe0.3 S3.48 Sn1,3
142,Ce0.57 Co1.26 Fe2.74 Sb11.82,3
143,La1 P1 Pt1,0
144,As0.56 Co4 Sn2.28,3
145,C1 Ho1 Ru2 Si1,0
