,formula,disorder
0,Pd4 Sn16,O
1,Ge0.5 Li0.143 Sb0.286 Te1,M
2,F1 Na1 O4 P1 Y1,O
3,Ge1 Nd1 Ru1,O
4,Br4 Cs2 Se8 Tc6,O
5,Al2 Na1 O12 P3 Rb2,O
6,Fe1 Mg1 Na4 O12 P3,S
7,In4.7 Lu21 Pt9.26,M
8,Al8 K8 Si38,S
9,B12 Cs1.15 K1.24 Li6.97 Na2.63 O24,S
10,Nb6 Pd1 Rh1,S
11,C1 Ni0.25 S2 Ta2,V
12,Ba1.9 Ca0.41 Cu2 Gd1.69 O11 Ti2,M
13,Ca4.45 F1.36 O24.32 Pb5.55 V6,M
14,Rh1 Si2 Y2,O
15,B1 Nb1 Ni1,O
16,Co0.5 Ga1 Ni0.5,S
17,Ca3 N1 Pb1,O
18,Mn2 Nd1 Si2,O
19,La1 Ni1 Sb3,O
20,Al1 Se2 Zn0.5,M
21,Al8 Mn4 U1,O
22,O2 Pa0.5 Sm0.5,S
23,Ge0.2 Ni0.8,S
24,Cs1 Nb1 O9 S2,O
25,Co3 Dy2 Si5,O
26,In1 Na1 O2,O
27,As1 Cu1 Se1,O
28,Cs1 P1 Pb1 Se4,O
29,Al1.641 Cr0.244 Mg1.115 O4,S
30,Fe16 La0.05 O27 Sr0.95 Zn2,S
31,Gd6 Mo10 O39,O
32,Mn0.94 Sb2.067 Te4,S
33,C0.868 B0.132 Ta0.934,M
34,C4 Ca1 Mg3 O12,O
35,Ba0.6 Cu1 O5 Sr0.4 Y2,S
36,Cu0.2 Fe0.8 Nd0.3 O2.88 Sr0.7,M
37,Ba1 S4 Sn1 Zn1,O
38,Eu1 Se4 Sm2,S
39,O2 Sb0.014 Ti0.894 V0.069 W0.022,S
40,Fe4.1 Mn0.9 Si3,S
41,Al7.35 Cu4.65 Pr1,S
42,As1 S1 Th1,O
43,Co1 P2 U1,O
44,In2 Sr1,O
45,Al10.058 Cd0.971 Mg0.942 O17,M
46,Co0.6 Fe0.4 La0.2 O3 Sr0.8,S
